ICE/DXU1986,"Dollar Index Futures, September 1986, DXU1986, ICE"
ICE/DXU1988,"Dollar Index Futures, September 1988, DXU1988, ICE"
ICE/DXZ1987,"Dollar Index Futures, December 1987, DXZ1987, ICE"
ICE/DXH1998,"Dollar Index Futures, March 1998, DXH1998, ICE"
ICE/DXH1997,"Dollar Index Futures, March 1997, DXH1997, ICE"
ICE/CTK1968,"Cotton No. 2 Futures, May 1968, CTK1968, ICE"
ICE/CTH1965,"Cotton No. 2 Futures, March 1965, CTH1965, ICE"
ICE/CTV1967,"Cotton No. 2 Futures, October 1967, CTV1967, ICE"
ICE/CTH1962,"Cotton No. 2 Futures, March 1962, CTH1962, ICE"
ICE/CTN1961,"Cotton No. 2 Futures, July 1961, CTN1961, ICE"
ICE/CTH1964,"Cotton No. 2 Futures, March 1964, CTH1964, ICE"
ICE/CTK1963,"Cotton No. 2 Futures, May 1963, CTK1963, ICE"
ICE/IBOV2015,"Soybean Oil Futures, October 2015 (IBOV2015)"
ICE/CTZ1963,"Cotton No. 2 Futures, December 1963, CTZ1963, ICE"
ICE/HOJ1982,"Heating Oil Futures, April 1982, HOJ1982, NYMEX"
ICE/CTN1964,"Cotton No. 2 Futures, July 1964, CTN1964, ICE"
ICE/CTZ1964,"Cotton No. 2 Futures, December 1964, CTZ1964, ICE"
ICE/CTK1966,"Cotton No. 2 Futures, May 1966, CTK1966, ICE"
ICE/YV2015,"UK Base Electricity Futures, October 2015 (YV2015)"
ICE/CTZ1961,"Cotton No. 2 Futures, December 1961, CTZ1961, ICE"
ICE/HOJ2004,"Heating Oil Futures, April 2004, HOJ2004, NYMEX"
ICE/HOJ2008,"Heating Oil Futures, April 2008, HOJ2008, NYMEX"
ICE/HOJ1989,"Heating Oil Futures, April 1989, HOJ1989, NYMEX"
ICE/OJN1971,"Orange Juice Futures, July 1971, OJN1971, ICE"
ICE/HOJ2005,"Heating Oil Futures, April 2005, HOJ2005, NYMEX"
ICE/HOJ2003,"Heating Oil Futures, April 2003, HOJ2003, NYMEX"
ICE/RRF1994,"Rough Rice Futures, January 1994, RRF1994, CBOT"
ICE/RRF1997,"Rough Rice Futures, January 1997, RRF1997, CBOT"
ICE/RRF2012,"Rough Rice Futures, January 2012, RRF2012, CBOT"
ICE/RRF1998,"Rough Rice Futures, January 1998, RRF1998, CBOT"
ICE/RRF1990,"Rough Rice Futures, January 1990, RRF1990, CBOT"
ICE/HOJ2002,"Heating Oil Futures, April 2002, HOJ2002, NYMEX"
